rank,smiles,mixture_cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
81,CCC(C)CCCCCCCC(C)CCCCC(CC)CC,71.2048220777938,5.795177922206193,71.2048220777938,118.66969714554281,True,OK,False,100.0,71.2048220777938,0.4,0.10952865386661226,True,118.66969714554281,297.24158279546714,796.724833933943
82,CC=CCCCCCCCCCCCCCC,71.14339160855775,5.856608391442251,71.14339160855775,110.25363671112554,True,OK,False,100.0,71.14339160855775,0.4,0.1274994713062284,True,110.25363671112554,262.18647532611,799.3163714646821
83,CCCCCCCCCCCCCCCC(=O)CC,71.06644460161378,5.933555398386218,71.06644460161378,112.7896502265215,True,OK,False,100.0,71.06644460161378,0.4,0.09043323520080448,True,112.7896502265215,278.3078231184131,822.378823276015
84,CCCCCCC=CCCCCCCCCCC(CC)CC,70.10739866960908,6.892601330390917,70.10739866960908,124.09922936783694,True,OK,False,100.0,70.10739866960908,0.4,0.13112242333188795,True,124.09922936783694,296.27778908321864,797.1756869387837
85,CCCCCCCCC(C)CCCCCC(C)CC,70.0036795525462,6.996320447453797,70.0036795525462,113.08071595865805,True,OK,False,100.0,70.0036795525462,0.4,0.14563262931128818,True,113.08071595865805,276.9396443550173,798.0527517009264
86,CCC(C)CCCCCCCC=CCCCCCCC(CC)CC,69.09282552831834,7.907174471681657,69.09282552831834,126.03652263321895,True,OK,False,100.0,69.09282552831834,0.4,0.12688805131295255,True,126.03652263321895,309.6091396575937,796.2798382453404
87,CCCCCOCCCC,69.04825046599152,7.951749534008485,69.04825046599152,85.74902440961836,True,OK,False,100.0,69.04825046599152,0.4,0.22317215900784382,True,85.74902440961836,213.04501898569782,795.3727018686129
88,CCCCC=CCCCCCCCCCC(CC)CC,69.01416520477304,7.985834795226964,69.01416520477304,117.77163690965513,True,OK,False,100.0,69.01416520477304,0.4,0.14748606902056405,True,117.77163690965513,282.76815273568445,797.4396204681375
89,CCOCC,68.86371681015319,8.136283189846807,68.86371681015319,87.63856331391048,True,OK,False,100.0,68.86371681015319,0.4,0.2170373663915942,True,87.63856331391048,175.11524221722925,802.5233652011539
90,CCCCC=CCCCCCCC(CCCCCC)CCCCC(C)O,68.40714237166362,8.592857628336375,68.40714237166362,127.50175272051492,True,OK,False,100.0,68.40714237166362,0.4,0.02216600316767614,True,127.50175272051492,322.53148784470534,830.5708110328342
91,CCCCCCCCCC=CCCCCCCC(CC)CC,68.33651737288892,8.66348262711108,68.33651737288892,124.11662925769015,True,OK,False,100.0,68.33651737288892,0.4,0.13996302919315906,True,124.11662925769015,296.27778908321864,797.1756869387837
92,CCC(CC)CCCCCCCCCCCCC(=O)OC(C)CC,67.98815647504425,9.01184352495575,67.98815647504425,123.64648516778864,True,OK,False,100.0,67.98815647504425,0.4,0.047018251433907365,True,123.64648516778864,311.55798785913737,843.0342696456893
93,CCCOC(=O)CCCCCCCCCCCC(CC)CC,67.6332780828759,9.366721917124096,67.6332780828759,119.87323277395475,True,OK,False,100.0,67.6332780828759,0.4,0.0553879614287307,True,119.87323277395475,299.3097235996777,839.2639761919175
94,CCCCCCOC,67.0568966496859,9.943103350314104,67.0568966496859,85.22069769629073,True,OK,False,100.0,67.0568966496859,0.4,0.27016302979687745,True,85.22069769629073,198.3110429551806,799.305584890064
95,CCC(O)CCCCCCCCCCCCCC(CC)CC,66.94481381924054,10.055186180759463,66.94481381924054,120.62501287999885,True,OK,False,100.0,66.94481381924054,0.4,0.06631668801558499,True,120.62501287999885,298.7131571571406,826.0964708572993
